code,type,name,elevation_ft,continent,iso_country,municipality
FAWK,medium_airport,Waterkloof Air Force Base,4940,AF,ZA,Pretoria
FAYP,medium_airport,Ysterplaat Air Force Base,52,AF,ZA,Cape Town
FBFT,medium_airport,Francistown Airport,3283,AF,BW,Francistown
FBJW,medium_airport,Jwaneng Airport,3900,AF,BW,
FBKE,medium_airport,Kasane Airport,3289,AF,BW,Kasane
FBMN,medium_airport,Maun Airport,3093,AF,BW,Maun
FBSK,large_airport,Sir Seretse Khama International Airport,3299,AF,BW,Gaborone
FBSN,medium_airport,Sua Pan Airport,2985,AF,BW,Sowa
FBSP,medium_airport,Selebi Phikwe Airport,2925,AF,BW,
FCBB,medium_airport,Maya-Maya Airport,1048,AF,CG,Brazzaville
FCOD,medium_airport,Oyo Ollombo Airport,1073,AF,CG,Oyo
FCOO,medium_airport,Owando Airport,1214,AF,CG,Owando
FCOU,medium_airport,Ouesso Airport,1158,AF,CG,
FCPL,medium_airport,Ngot Nzoungou Airport,1079,AF,CG,Dolisie
FCPP,medium_airport,Pointe Noire Airport,55,AF,CG,Pointe Noire
FDMS,medium_airport,Matsapha Airport,2075,AF,SZ,Manzini
FDSK,large_airport,King Mswati III International Airport,1092,AF,SZ,
FEFF,medium_airport,Bangui M'Poko International Airport,1208,AF,CF,Bangui
FEFT,medium_airport,Berb̩rati Airport,1929,AF,CF,Berb̩rati
FGBT,medium_airport,Bata Airport,13,AF,GQ,
FGSL,medium_airport,Malabo Airport,76,AF,GQ,Malabo
FHAW,medium_airport,RAF Ascension Island,278,AF,SH,Ascension Island
FIMP,large_airport,Sir Seewoosagur Ramgoolam International Airport,186,AF,MU,Port Louis
FIMR,medium_airport,Sir Charles Gaetan Duval Airport,95,AF,MU,Port Mathurin
FJDG,medium_airport,Diego Garcia Naval Support Facility,9,AS,IO,Diego Garcia
FKKC,medium_airport,Tiko Airport,151,AF,CM,Tiko
FKKD,medium_airport,Douala International Airport,33,AF,CM,Douala
FKKL,medium_airport,Salak Airport,1390,AF,CM,Maroua
FKKM,medium_airport,Foumban Nkounja Airport,3963,AF,CM,Foumban
FKKN,medium_airport,N'Gaound̩r̩ Airport,3655,AF,CM,N'Gaound̩r̩
