code,type,name,elevation_ft,continent,iso_country,municipality
5A8,medium_airport,Aleknagik / New Airport,66,NA,US,Aleknagik
AF-0005,medium_airport,Khost International Airport (U.C.),4204,AS,AF,Khost
AGGH,medium_airport,Honiara International Airport,28,OC,SB,Honiara
AGGM,medium_airport,Munda Airport,10,OC,SB,
AHJ,medium_airport,Hongyuan Airport,11600,AS,CN,Aba
ANYN,medium_airport,Nauru International Airport,22,OC,NR,Yaren District
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,4560,AS,CN,Bayanhot
AYBK,medium_airport,Buka Airport,11,OC,PG,Buka Island
AYCH,medium_airport,Chimbu Airport,4974,OC,PG,Kundiawa
AYDU,medium_airport,Daru Airport,20,OC,PG,Daru
AYGA,medium_airport,Goroka Airport,5282,OC,PG,Goronka
AYGN,medium_airport,Gurney Airport,88,OC,PG,Gurney
AYGR,medium_airport,Girua Airport,311,OC,PG,Popondetta
AYHK,medium_airport,Kimbe Airport,66,OC,PG,Hoskins
AYKM,medium_airport,Kerema Airport,10,OC,PG,Kerema
AYKV,medium_airport,Kavieng Airport,7,OC,PG,Kavieng
AYMD,medium_airport,Madang Airport,20,OC,PG,Madang
AYMH,medium_airport,Mount Hagen Kagamuga Airport,5388,OC,PG,Mount Hagen
AYMN,medium_airport,Mendi Airport,5680,OC,PG,Mendi
AYMO,medium_airport,Momote Airport,12,OC,PG,Manus Island
AYNZ,medium_airport,Nadzab Airport,239,OC,PG,Lae
AYPY,large_airport,Port Moresby Jacksons International Airport,146,OC,PG,Port Moresby
AYTK,medium_airport,Tokua Airport,32,OC,PG,Tokua
AYVN,medium_airport,Vanimo Airport,10,OC,PG,Vanimo
AYWD,medium_airport,Wapenamanda Airport,5889,OC,PG,
AYWK,medium_airport,Wewak International Airport,19,OC,PG,Wewak
AZ-0001,medium_airport,Zabrat Airport,36,AS,AZ,Baku
AZ-0013,medium_airport,Sital Chay Airport,,AS,AZ,
AZ-0021,medium_airport,Kyzylagadzh Air Base,,AS,AZ,
BCW,medium_airport,Benguera Island Airport,,AF,MZ,Benguera Island
BG-JAM,medium_airport,Bezmer Air Base,509,EU,BG,Yambol
BGAA,medium_airport,Aasiaat Airport,74,NA,GL,Aasiaat
BGBW,medium_airport,Narsarsuaq Airport,112,NA,GL,Narsarsuaq
BGGH,medium_airport,Godthaab / Nuuk Airport,283,NA,GL,Nuuk
BGSF,medium_airport,Kangerlussuaq Airport,165,NA,GL,Kangerlussuaq
BGSS,medium_airport,Sisimiut Airport,33,NA,GL,Sisimiut
BGTL,medium_airport,Thule Air Base,251,NA,GL,Thule
BIAR,medium_airport,Akureyri Airport,6,EU,IS,Akureyri
BIEG,medium_airport,EgilsstaÃ°ir Airport,76,EU,IS,EgilsstaÃ°ir
BIHN,medium_airport,HornafjÃ¶rÃ°ur Airport,24,EU,IS,HÃ¶fn
BIHU,medium_airport,HÃºsavÃ­k Airport,48,EU,IS,HÃºsavÃ­k
BIIS,medium_airport,ÃsafjÃ¶rÃ°ur Airport,8,EU,IS,ÃsafjÃ¶rÃ°ur
BIKF,large_airport,Keflavik International Airport,171,EU,IS,ReykjavÃ­k
BIRK,medium_airport,Reykjavik Airport,48,EU,IS,Reykjavik
BISI,medium_airport,SiglufjÃ¶rÃ°ur Airport,10,EU,IS,SiglufjÃ¶rÃ°ur
BIVM,medium_airport,Vestmannaeyjar Airport,326,EU,IS,Vestmannaeyjar
BKPR,large_airport,PriÅ¡tina International Airport,1789,EU,XK,Prishtina
BR-0569,medium_airport,Glauber de Andrade Rocha Airport,2940,SA,BR,VitÃ³ria da Conquista
BY-0001,medium_airport,Balbasovo Air Base,620,EU,BY,Orsha
BY-0003,medium_airport,Bobrovichi Air Base,440,EU,BY,Kalinovichi
BY-0006,medium_airport,Osovtsy Air Base,,EU,BY,Byaroza
BZ-BGK,medium_airport,Big Creek Airport,3,NA,BZ,Big Creek
BZ-CUK,medium_airport,Caye Caulker Airport,1,NA,BZ,Caye Caulker
BZ-CYC,medium_airport,Caye Chapel Airport,3,NA,BZ,Caye Chapel
BZ-CZH,medium_airport,Corozal Municipal Airport,40,NA,BZ,Corozal
BZ-DGA,medium_airport,Dangriga Airport,508,NA,BZ,Dangriga
BZ-PLJ,medium_airport,Placencia Airport,3,NA,BZ,Placencia
BZ-PND,medium_airport,Punta Gorda Airport,7,NA,BZ,Punta Gorda
BZ-SJX,medium_airport,Sartaneja Airport,3,NA,BZ,Sartaneja
BZ-SPR,medium_airport,San Pedro Airport,4,NA,BZ,San Pedro
BZ-TZA,medium_airport,Belize City Municipal Airport,16,NA,BZ,Belize City
BZB,medium_airport,Bazaruto Island Airport,,AF,MZ,Bazaruto Island
CA-0673,medium_airport,Cycd,,NA,CA,Nanaimo
CN-0002,medium_airport,Nanjing Air Base,,AS,CN,Nanjing
CN-0003,medium_airport,Laohutun Air Base,,AS,CN,
CN-0004,medium_airport,Pulandian Air Base,,AS,CN,
CN-0006,medium_airport,Beijing Shahezhen Air Base,,AS,CN,Beijing
CN-0007,medium_airport,Beijing Tongxian Air Base,,AS,CN,Beijing
CN-0010,medium_airport,Yinchuan Hedong International Airport,,AS,CN,Yinchuan
CN-0011,medium_airport,Duplicate --Yantai Penglai International Airport,154,AS,CN,Yantai
CN-0012,medium_airport,Yuanmou Air Base,3810,AS,CN,Yuanmou
CN-0013,medium_airport,Fengning Air Base,,AS,CN,
CN-0014,medium_airport,Hohhot Air Base,,AS,CN,
CN-0015,medium_airport,Huairen Air Base,3260,AS,CN,Datong
CN-0016,medium_airport,Liangxiangzhen Air Base,,AS,CN,Beijing
CN-0018,medium_airport,Tangguantun Air Base,,AS,CN,
CN-0020,medium_airport,Wenshui Air Base,,AS,CN,
CN-0021,medium_airport,Yangcun Air Base,,AS,CN,
CN-0022,medium_airport,Yongning Air Base,,AS,CN,Yongning
CN-0024,medium_airport,Zhangjiakou Ningyuan Airport,2347,AS,CN,Zhangjiakou
CN-0025,medium_airport,Zunhua Air Base,,AS,CN,
CN-0026,medium_airport,Chengdu Air Base,,AS,CN,
CN-0027,medium_airport,Baoshan Yunduan Airport,5453,AS,CN,
CN-0030,medium_airport,Chongqing Air Base,,AS,CN,Chongqing
CN-0040,medium_airport,Lintsang Airfield,6230,AS,CN,Lincang
CN-0041,medium_airport,Luliang Air Base,,AS,CN,
CN-0043,medium_airport,Mengzi Air Base,,AS,CN,
CN-0045,medium_airport,Qionglai Air Base,,AS,CN,
CN-0046,medium_airport,Shigatse Air Base,3782,AS,CN,XigazÃª
CN-0048,medium_airport,Wenshan Air Base,,AS,CN,
CN-0049,medium_airport,Xiangyun Midu Air Base,,AS,CN,
CN-0050,medium_airport,Bao'anying Airport,1620,AS,CN,Panzhihua
CN-0053,medium_airport,Baihe Ning Ming Air Base,,AS,CN,
CN-0055,medium_airport,Changsha Datuopu Airport/AFB,170,AS,CN,Changsha
CN-0056,medium_airport,Dangyang Air Base,,AS,CN,
CN-0057,medium_airport,Foluo Northeast Air Base,,AS,CN,
CN-0061,medium_airport,Foshan Shadi Airport,6,AS,CN,Foshan
CN-0063,medium_airport,Guiping Mengshu Air Base,,AS,CN,
CN-0067,medium_airport,Xinyang Minggang Airport,312,AS,CN,Xinyang
CN-0068,medium_airport,Huizhou Airport,50,AS,CN,Huizhou
CN-0069,medium_airport,Jialaishi Air Base,,AS,CN,
CN-0071,medium_airport,Leiyang Air Base,,AS,CN,
CN-0072,medium_airport,Lingshui Air Base,,AS,CN,
CN-0074,medium_airport,Shangqiu Air Base,,AS,CN,Shangqiu
CN-0076,medium_airport,Zhengzhou Air Base,,AS,CN,
CN-0079,medium_airport,Shaoguan Guitou Airport,280,AS,CN,Shaoguan
CN-0080,medium_airport,Suixi Air Base,,AS,CN,
CN-0081,medium_airport,Jinggangshan Airport,281,AS,CN,Ji'an
CN-0082,medium_airport,Baise Youjiang Airport,490,AS,CN,Baise
CN-0083,large_airport,Guodu air base,,AS,CN,
CN-0085,medium_airport,Xiaogan Air Base,,AS,CN,
CN-0089,medium_airport,Baitabu Air Base,,AS,CN,
CN-0090,medium_airport,Cangxian Air Base,,AS,CN,
CN-0091,medium_airport,Dongying Shengli Airport,15,AS,CN,Dongying
CN-0092,medium_airport,Jiaozhou/Jiaocheng Air Base,,AS,CN,
CN-0093,medium_airport,Jinan Air Base,,AS,CN,
CN-0094,medium_airport,Jiugucheng Air Base,,AS,CN,
CN-0095,medium_airport,Kaifeng Air Base,,AS,CN,Kaifeng
CN-0096,medium_airport,Laiyang Air Base,,AS,CN,
CN-0097,medium_airport,Luyang Air Base,,AS,CN,
CN-0100,medium_airport,Qingdao-Cangkou Air Base,,AS,CN,
CN-0103,medium_airport,Wendeng Air Base,,AS,CN,
CN-0104,medium_airport,Xingcheng Air Base,30,AS,CN,
CN-0105,medium_airport,Xuzhou Daguozhang Air Base,,AS,CN,
CN-0106,medium_airport,Xuzhou Jiulishan Air Base,,AS,CN,
CN-0109,medium_airport,Yidu Air Base,,AS,CN,
CN-0111,medium_airport,Zhucheng Air Base,,AS,CN,
CN-0113,medium_airport,Altay Air Base,2460,AS,CN,Altay
CN-0114,medium_airport,Baoji Air Base,,AS,CN,
CN-0117,medium_airport,Gonghe Air Base,,AS,CN,
CN-0123,medium_airport,Lanzhou Air Base,,AS,CN,Lanzhou
CN-0125,medium_airport,Ljtao Air Base,,AS,CN,
CN-0127,medium_airport,Qingshui Air Base,,AS,CN,
CN-0130,medium_airport,Tianshui Maijishan Airport,3590,AS,CN,Tianshui
CN-0132,medium_airport,Urumqi South Air Base,,AS,CN,
CN-0133,medium_airport,Uxxaktal Air Base,,AS,CN,
CN-0134,medium_airport,Wugong Air Base,,AS,CN,
CN-0135,medium_airport,Wulumuqi Air Base,2425,AS,CN,
CN-0136,medium_airport,Wuwei Air Base,,AS,CN,
CN-0137,medium_airport,Xian Air Base,,AS,CN,
CN-0138,medium_airport,Xincheng Air Base,,AS,CN,
CN-0139,medium_airport,Yaerbashi Test Range,,AS,CN,
CN-0140,medium_airport,Yanliang Air Base,,AS,CN,
CN-0143,medium_airport,Zhangye Ganzhou Airport,5280,AS,CN,Zhangye
CN-0145,medium_airport,Changzing Air Base,,AS,CN,
CN-0146,medium_airport,Daishan Air Base,,AS,CN,
CN-0147,medium_airport,Feidong Air Base,,AS,CN,
CN-0149,medium_airport,Fuzhou Air Base,,AS,CN,Fuzhou
CN-0152,medium_airport,Huian Air Base,,AS,CN,
CN-0153,medium_airport,Jianqiao/Hangzhou Airfield,,AS,CN,Hangzhou
CN-0154,medium_airport,Jiaxing Air Base,,AS,CN,
CN-0158,medium_airport,Longtian/Lung-T'ien Air Base,,AS,CN,
CN-0159,medium_airport,Longyou Air Base,,AS,CN,
CN-0161,medium_airport,Mahuiling Air Base,,AS,CN,
CN-0162,medium_airport,Nanchang New Airfield,,AS,CN,Nanchang
CN-0163,medium_airport,Nanchang Xiangtang Air Base,,AS,CN,Nanchang
CN-0165,medium_airport,Ningbo Zhangqiao Air Base,,AS,CN,
CN-0169,medium_airport,Shanghai Dachang Air Base,,AS,CN,Shanghai
CN-0182,medium_airport,Zhangshu Air Base,,AS,CN,
CN-0185,medium_airport,Changchun Air Base,,AS,CN,
CN-0187,medium_airport,Chifeng Air Base,,AS,CN,
CN-0189,medium_airport,Dandong Airport,30,AS,CN,Dandong
CN-0190,medium_airport,Dingxin/Shuangchengzi Air Base,,AS,CN,
CN-0191,medium_airport,Fuxin Air Base,,AS,CN,
CN-0192,medium_airport,Gongzhuling Air Base,,AS,CN,
CN-0193,medium_airport,Harbin Air Base,,AS,CN,
CN-0197,medium_airport,Kaiyuan Air Base,,AS,CN,
CN-0198,medium_airport,Lalin Air Base,,AS,CN,
CN-0201,medium_airport,Pingquan Air Base,,AS,CN,
CN-0204,medium_airport,Shenyang Beiling Air Base,,AS,CN,Shenyang
CN-0206,medium_airport,Shenyang Yu Hung Tun Air Base,,AS,CN,Shenyang
CN-0208,medium_airport,Siping Air Base,,AS,CN,
CN-0209,medium_airport,Suizhong Air Base,,AS,CN,
CN-0210,medium_airport,Tuchengzi Air Base,,AS,CN,
CN-JNZ,medium_airport,Sanshilipu Air Base,,AS,CN,Dalian
CNC3,medium_airport,Brampton-Caledon Airport,935,NA,CA,
CY-0002,medium_airport,Lefkoniko Airport,146,AS,CY,GeÃ§itkale
CYAC,medium_airport,Cat Lake Airport,1344,NA,CA,Cat Lake
CYAG,medium_airport,Fort Frances Municipal Airport,1125,NA,CA,Fort Frances
CYAH,medium_airport,La Grande-4 Airport,1005,NA,CA,La Grande-4
CYAL,medium_airport,Alert Bay Airport,240,NA,CA,Alert Bay
CYAM,medium_airport,Sault Ste Marie Airport,630,NA,CA,Sault Ste Marie
CYAQ,medium_airport,Kasabonika Airport,672,NA,CA,Kasabonika
CYAS,medium_airport,Kangirsuk Airport,403,NA,CA,Kangirsuk
CYAT,medium_airport,Attawapiskat Airport,31,NA,CA,Attawapiskat
CYAU,medium_airport,Liverpool South Shore Regional Airport,321,NA,CA,Liverpool
CYAV,medium_airport,Winnipeg / St. Andrews Airport,760,NA,CA,Winnipeg
CYAX,medium_airport,Lac Du Bonnet Airport,850,NA,CA,Lac Du Bonnet
CYAY,medium_airport,St. Anthony Airport,108,NA,CA,St. Anthony
CYAZ,medium_airport,Tofino / Long Beach Airport,80,NA,CA,Tofino
CYBB,medium_airport,Kugaaruk Airport,56,NA,CA,Kugaaruk
CYBC,medium_airport,Baie Comeau Airport,71,NA,CA,Baie-Comeau
CYBD,medium_airport,Bella Coola Airport,117,NA,CA,Bella Coola
CYBE,medium_airport,Uranium City Airport,1044,NA,CA,Uranium City
CYBF,medium_airport,Bonnyville Airport,1836,NA,CA,Bonnyville
CYBG,medium_airport,CFB Bagotville,522,NA,CA,Bagotville
CYBK,medium_airport,Baker Lake Airport,59,NA,CA,Baker Lake
CYBL,medium_airport,Campbell River Airport,346,NA,CA,Campbell River
CYBQ,medium_airport,Tadoule Lake Airport,923,NA,CA,Tadoule Lake
CYBR,medium_airport,Brandon Municipal Airport,1343,NA,CA,Brandon
CYBT,medium_airport,Brochet Airport,1136,NA,CA,Brochet
CYBU,medium_airport,Nipawin Airport,1220,NA,CA,Nipawin
CYBV,medium_airport,Berens River Airport,728,NA,CA,Berens River
CYBW,medium_airport,Calgary / Springbank Airport,3940,NA,CA,Calgary
CYBX,medium_airport,Lourdes de Blanc Sablon Airport,121,NA,CA,Lourdes-De-Blanc-Sablon
CYCA,medium_airport,Cartwright Airport,40,NA,CA,Cartwright
CYCB,medium_airport,Cambridge Bay Airport,90,NA,CA,Cambridge Bay
CYCC,medium_airport,Cornwall Regional Airport,175,NA,CA,Cornwall
CYCD,medium_airport,Nanaimo Airport,92,NA,CA,Nanaimo
CYCE,medium_airport,Centralia / James T. Field Memorial Aerodrome,824,NA,CA,Centralia
CYCG,medium_airport,Castlegar/West Kootenay Regional Airport,1624,NA,CA,Castlegar
CYCH,medium_airport,Miramichi Airport,108,NA,CA,Miramichi
CYCL,medium_airport,Charlo Airport,132,NA,CA,Charlo
CYCN,medium_airport,Cochrane Airport,861,NA,CA,Cochrane
CYCO,medium_airport,Kugluktuk Airport,74,NA,CA,Kugluktuk
CYCP,medium_airport,Blue River Airport,2240,NA,CA,Blue River
CYCQ,medium_airport,Chetwynd Airport,2000,NA,CA,Chetwynd
CYCR,medium_airport,Cross Lake (Charlie Sinclair Memorial) Airport,709,NA,CA,Cross Lake
CYCS,medium_airport,Chesterfield Inlet Airport,32,NA,CA,Chesterfield Inlet
CYCY,medium_airport,Clyde River Airport,87,NA,CA,Clyde River
CYDA,medium_airport,Dawson City Airport,1215,NA,CA,Dawson City
CYDB,medium_airport,Burwash Airport,2647,NA,CA,Burwash
CYDC,medium_airport,Princeton Airport,2298,NA,CA,Town of Princeton
CYDF,medium_airport,Deer Lake Airport,72,NA,CA,Deer Lake
CYDM,medium_airport,Ross River Airport,2314,NA,CA,Ross River
CYDN,medium_airport,Dauphin Barker Airport,999,NA,CA,Dauphin
CYDO,medium_airport,Dolbeau St Felicien Airport,372,NA,CA,Dolbeau-St-FÃ©licien
CYDP,medium_airport,Nain Airport,22,NA,CA,Nain
CYDQ,medium_airport,Dawson Creek Airport,2148,NA,CA,Dawson Creek
CYEE,medium_airport,Huronia Airport,770,NA,CA,Midland
CYEG,large_airport,Edmonton International Airport,2373,NA,CA,Edmonton
CYEK,medium_airport,Arviat Airport,32,NA,CA,Arviat
CYEL,medium_airport,Elliot Lake Municipal Airport,1087,NA,CA,Elliot Lake
CYEM,medium_airport,Manitoulin East Municipal Airport,869,NA,CA,Manitowaning
CYEN,medium_airport,Estevan Airport,1905,NA,CA,Estevan
CYER,medium_airport,Fort Severn Airport,48,NA,CA,Fort Severn
CYET,medium_airport,Edson Airport,3043,NA,CA,Edson
CYEV,medium_airport,Inuvik Mike Zubko Airport,224,NA,CA,Inuvik
CYEY,medium_airport,Amos/Magny Airport,1068,NA,CA,Amos
CYFA,medium_airport,Fort Albany Airport,48,NA,CA,Fort Albany
CYFB,medium_airport,Iqaluit Airport,110,NA,CA,Iqaluit
CYFC,medium_airport,Fredericton Airport,68,NA,CA,Fredericton
CYFE,medium_airport,Forestville Airport,293,NA,CA,Forestville
CYFH,medium_airport,Fort Hope Airport,899,NA,CA,Fort Hope
CYFJ,medium_airport,La Macaza / Mont-Tremblant International Inc Airport,827,NA,CA,RiviÃ¨re Rouge
CYFO,medium_airport,Flin Flon Airport,997,NA,CA,Flin Flon
CYFR,medium_airport,Fort Resolution Airport,526,NA,CA,Fort Resolution
CYFS,medium_airport,Fort Simpson Airport,555,NA,CA,Fort Simpson
CYFT,medium_airport,Makkovik Airport,234,NA,CA,Makkovik
CYGB,medium_airport,Texada Gillies Bay Airport,326,NA,CA,Texada
CYGD,medium_airport,Goderich Airport,712,NA,CA,Goderich
CYGE,medium_airport,Golden Airport,2575,NA,CA,Golden
CYGH,medium_airport,Fort Good Hope Airport,268,NA,CA,Fort Good Hope
CYGK,medium_airport,Kingston Norman Rogers Airport,305,NA,CA,Kingston
CYGL,medium_airport,La Grande RiviÃ¨re Airport,639,NA,CA,La Grande RiviÃ¨re
CYGM,medium_airport,Gimli Industrial Park Airport,753,NA,CA,Gimli
CYGO,medium_airport,Gods Lake Narrows Airport,617,NA,CA,Gods Lake Narrows
CYGP,medium_airport,GaspÃ© (Michel-Pouliot) Airport,112,NA,CA,GaspÃ©
CYGQ,medium_airport,Geraldton Greenstone Regional Airport,1144,NA,CA,Geraldton
CYGR,medium_airport,Ãles-de-la-Madeleine Airport,35,NA,CA,Ãles-de-la-Madeleine
CYGT,medium_airport,Igloolik Airport,174,NA,CA,Igloolik
CYGV,medium_airport,Havre St Pierre Airport,124,NA,CA,Havre St-Pierre
CYGW,medium_airport,Kuujjuarapik Airport,34,NA,CA,Kuujjuarapik
CYGX,medium_airport,Gillam Airport,476,NA,CA,Gillam
CYGZ,medium_airport,Grise Fiord Airport,146,NA,CA,Grise Fiord
CYHA,medium_airport,Quaqtaq Airport,103,NA,CA,Quaqtaq
CYHD,medium_airport,Dryden Regional Airport,1354,NA,CA,Dryden
CYHE,medium_airport,Hope Airport,128,NA,CA,Hope
CYHF,medium_airport,Hearst RenÃ© Fontaine Municipal Airport,827,NA,CA,Hearst
CYHH,medium_airport,Nemiscau Airport,802,NA,CA,Nemiscau
CYHI,medium_airport,Ulukhaktok Holman Airport,117,NA,CA,Ulukhaktok
CYHK,medium_airport,Gjoa Haven Airport,152,NA,CA,Gjoa Haven
CYHM,medium_airport,John C. Munro Hamilton International Airport,780,NA,CA,Hamilton
CYHN,medium_airport,Hornepayne Municipal Airport,1099,NA,CA,Hornepayne
CYHO,medium_airport,Hopedale Airport,39,NA,CA,Hopedale
CYHR,medium_airport,Chevery Airport,39,NA,CA,Chevery
CYHT,medium_airport,Haines Junction Airport,2150,NA,CA,Haines Junction
CYHU,medium_airport,MontrÃ©al / Saint-Hubert Airport,90,NA,CA,MontrÃ©al
CYHY,medium_airport,Hay River / Merlyn Carter Airport,541,NA,CA,Hay River
CYHZ,large_airport,Halifax / Stanfield International Airport,477,NA,CA,Halifax
CYIB,medium_airport,Atikokan Municipal Airport,1408,NA,CA,Atikokan
CYID,medium_airport,Digby / Annapolis Regional Airport,499,NA,CA,Digby
CYIF,medium_airport,St Augustin Airport,20,NA,CA,St-Augustin
CYIK,medium_airport,Ivujivik Airport,126,NA,CA,Ivujivik
CYIO,medium_airport,Pond Inlet Airport,181,NA,CA,Pond Inlet
CYIV,medium_airport,Island Lake Airport,770,NA,CA,Island Lake
CYJF,medium_airport,Fort Liard Airport,708,NA,CA,Fort Liard
CYJN,medium_airport,St Jean Airport,136,NA,CA,St Jean
CYJT,medium_airport,Stephenville Airport,84,NA,CA,Stephenville
CYKA,medium_airport,Kamloops Airport,1133,NA,CA,Kamloops
CYKD,medium_airport,Aklavik/Freddie Carmichael Airport,23,NA,CA,Aklavik
CYKF,medium_airport,Waterloo Airport,1055,NA,CA,Kitchener
CYKG,medium_airport,Kangiqsujuaq (Wakeham Bay) Airport,501,NA,CA,Kangiqsujuaq
CYKJ,medium_airport,Key Lake Airport,1679,NA,CA,Key Lake
CYKL,medium_airport,Schefferville Airport,1709,NA,CA,Schefferville
CYKO,medium_airport,Akulivik Airport,75,NA,CA,Akulivik
CYKQ,medium_airport,Waskaganish Airport,80,NA,CA,Waskaganish
CYKX,medium_airport,Kirkland Lake Airport,1157,NA,CA,Kirkland Lake
CYKY,medium_airport,Kindersley Airport,2277,NA,CA,Kindersley
CYKZ,medium_airport,Buttonville Municipal Airport,650,NA,CA,Toronto
CYLA,medium_airport,Aupaluk Airport,119,NA,CA,Aupaluk
CYLC,medium_airport,Kimmirut Airport,175,NA,CA,Kimmirut
CYLD,medium_airport,Chapleau Airport,1470,NA,CA,Chapleau
CYLH,medium_airport,Lansdowne House Airport,834,NA,CA,Lansdowne House
CYLJ,medium_airport,Meadow Lake Airport,1576,NA,CA,Meadow Lake
CYLK,medium_airport,Lutselk'e Airport,596,NA,CA,Lutselk'e
CYLL,medium_airport,Lloydminster Airport,2193,NA,CA,Lloydminster
CYLR,medium_airport,Leaf Rapids Airport,959,NA,CA,Leaf Rapids
CYLT,medium_airport,Alert Airport,100,NA,CA,Alert
CYLU,medium_airport,Kangiqsualujjuaq (Georges River) Airport,215,NA,CA,Kangiqsualujjuaq
CYLW,medium_airport,Kelowna International Airport,1421,NA,CA,Kelowna
CYMA,medium_airport,Mayo Airport,1653,NA,CA,Mayo
CYME,medium_airport,Matane Airport,102,NA,CA,Matane
CYMG,medium_airport,Manitouwadge Airport,1198,NA,CA,Manitouwadge
CYMH,medium_airport,Mary's Harbour Airport,38,NA,CA,Mary's Harbour
CYMJ,medium_airport,Moose Jaw Air Vice Marshal C. M. McEwen Airport,1892,NA,CA,Moose Jaw
CYML,medium_airport,Charlevoix Airport,977,NA,CA,Charlevoix
CYMM,medium_airport,Fort McMurray Airport,1211,NA,CA,Fort McMurray
CYMO,medium_airport,Moosonee Airport,30,NA,CA,Moosonee
CYMT,medium_airport,Chapais Airport,1270,NA,CA,Chibougamau
CYMU,medium_airport,Umiujaq Airport,250,NA,CA,Umiujaq
CYMX,medium_airport,Montreal International (Mirabel) Airport,270,NA,CA,MontrÃ©al
CYNA,medium_airport,Natashquan Airport,39,NA,CA,Natashquan
CYNC,medium_airport,Wemindji Airport,66,NA,CA,Wemindji
CYND,medium_airport,Ottawa / Gatineau Airport,211,NA,CA,Gatineau
CYNE,medium_airport,Norway House Airport,734,NA,CA,Norway House
CYNL,medium_airport,Points North Landing Airport,1605,NA,CA,Points North Landing
CYNM,medium_airport,Matagami Airport,918,NA,CA,Matagami
CYNN,medium_airport,Nejanilini Lake Airport,1000,NA,CA,Nejanilini Lake
CYOA,medium_airport,Ekati Airport,1536,NA,CA,Ekati
CYOC,medium_airport,Old Crow Airport,824,NA,CA,Old Crow
CYOD,medium_airport,CFB Cold Lake,1775,NA,CA,Cold Lake
CYOH,medium_airport,Oxford House Airport,663,NA,CA,Oxford House
CYOJ,medium_airport,High Level Airport,1110,NA,CA,High Level
CYOO,medium_airport,Toronto/Oshawa Executive Airport,460,NA,CA,Oshawa
CYOP,medium_airport,Rainbow Lake Airport,1759,NA,CA,Rainbow Lake
CYOS,medium_airport,Owen Sound / Billy Bishop Regional Airport,1007,NA,CA,Owen Sound
CYOW,large_airport,Ottawa Macdonald-Cartier International Airport,374,NA,CA,Ottawa
CYPA,medium_airport,Prince Albert Glass Field,1405,NA,CA,Prince Albert
CYPC,medium_airport,Paulatuk (Nora Aliqatchialuk Ruben) Airport,15,NA,CA,Paulatuk
CYPD,medium_airport,Port Hawkesbury Airport,377,NA,CA,Port Hawkesbury
CYPE,medium_airport,Peace River Airport,1873,NA,CA,Peace River
CYPG,medium_airport,Portage-la-Prairie / Southport Airport,885,NA,CA,Portage la Prairie
CYPH,medium_airport,Inukjuak Airport,83,NA,CA,Inukjuak
CYPL,medium_airport,Pickle Lake Airport,1267,NA,CA,Pickle Lake
CYPM,medium_airport,Pikangikum Airport,1114,NA,CA,Pikangikum
CYPN,medium_airport,Port Menier Airport,167,NA,CA,Port-Menier
CYPO,medium_airport,Peawanuck Airport,173,NA,CA,Peawanuck
CYPQ,medium_airport,Peterborough Airport,628,NA,CA,Peterborough
CYPR,medium_airport,Prince Rupert Airport,116,NA,CA,Prince Rupert
CYPW,medium_airport,Powell River Airport,425,NA,CA,Powell River
CYPX,medium_airport,Puvirnituq Airport,74,NA,CA,Puvirnituq
CYPY,medium_airport,Fort Chipewyan Airport,761,NA,CA,Fort Chipewyan
CYQA,medium_airport,Muskoka Airport,925,NA,CA,Muskoka
CYQB,medium_airport,Quebec Jean Lesage International Airport,244,NA,CA,Quebec
CYQD,medium_airport,The Pas Airport,887,NA,CA,The Pas
CYQF,medium_airport,Red Deer Regional Airport,2968,NA,CA,Red Deer
CYQG,medium_airport,Windsor Airport,622,NA,CA,Windsor
CYQH,medium_airport,Watson Lake Airport,2255,NA,CA,Watson Lake
CYQI,medium_airport,Yarmouth Airport,141,NA,CA,Yarmouth
CYQK,medium_airport,Kenora Airport,1332,NA,CA,Kenora
CYQL,medium_airport,Lethbridge County Airport,3048,NA,CA,Lethbridge
CYQM,medium_airport,Greater Moncton RomÃ©o LeBlanc International Airport,232,NA,CA,Moncton
CYQN,medium_airport,Nakina Airport,1057,NA,CA,Nakina
CYQQ,medium_airport,Comox Airport,84,NA,CA,Comox
CYQR,medium_airport,Regina International Airport,1894,NA,CA,Regina
CYQS,medium_airport,St Thomas Municipal Airport,778,NA,CA,St Thomas
CYQT,medium_airport,Thunder Bay Airport,653,NA,CA,Thunder Bay
CYQU,medium_airport,Grande Prairie Airport,2195,NA,CA,Grande Prairie
CYQV,medium_airport,Yorkton Municipal Airport,1635,NA,CA,Yorkton
CYQW,medium_airport,North Battleford Airport,1799,NA,CA,North Battleford
CYQX,medium_airport,Gander International Airport,496,NA,CA,Gander
CYQY,medium_airport,Sydney / J.A. Douglas McCurdy Airport,203,NA,CA,Sydney
CYQZ,medium_airport,Quesnel Airport,1789,NA,CA,Quesnel
CYRA,medium_airport,Rae Lakes Airport,723,NA,CA,GamÃ¨tÃ¬
CYRB,medium_airport,Resolute Bay Airport,215,NA,CA,Resolute Bay
CYRI,medium_airport,RiviÃ¨re-du-Loup Airport,427,NA,CA,RiviÃ¨re-du-Loup
CYRJ,medium_airport,Roberval Airport,586,NA,CA,Roberval
CYRL,medium_airport,Red Lake Airport,1265,NA,CA,Red Lake
CYRO,medium_airport,Ottawa / Rockcliffe Airport,188,NA,CA,Ottawa
CYRP,medium_airport,Ottawa / Carp Airport,382,NA,CA,Ottawa
